"measures","Fold.1.Knn.2","Fold.2.Knn.2","Fold.3.Knn.2","Fold.4.Knn.2","Fold.5.Knn.2","Fold.6.Knn.2","Fold.7.Knn.2","Fold.8.Knn.2","Fold.9.Knn.2","Fold.10.Knn.2"
"accuracy",0.92156862745098,0.933962264150943,0.942307692307692,0.961538461538462,0.961538461538462,0.894230769230769,0.913461538461538,0.961538461538462,0.931372549019608,0.942307692307692
"average-precision",0.955882352941177,0.959119496855346,0.966346153846154,0.977564102564103,0.990384615384615,0.939102564102564,0.955128205128205,0.983974358974359,0.967320261437909,0.953525641025641
"clp",0,0,0,0,0,0,0,0,0,0
"coverage",0.117647058823529,0.0943396226415094,0.115384615384615,0.0576923076923077,0.0192307692307692,0.192307692307692,0.134615384615385,0.0769230769230769,0.0980392156862745,0.134615384615385
"F1",0.92156862745098,0.937106918238994,0.948717948717949,0.961538461538462,0.967948717948718,0.897435897435897,0.916666666666667,0.967948717948718,0.941176470588235,0.948717948717949
"hamming-loss",0.0392156862745098,0.0330188679245283,0.0288461538461538,0.0192307692307692,0.0192307692307692,0.0528846153846154,0.0432692307692308,0.0192307692307692,0.0343137254901961,0.0288461538461538
"macro-AUC",0.840689964157706,0.965230643539467,0.971255117431588,0.984970238095238,0.977947388632872,0.890264501633987,0.889096826902804,0.974285992312558,0.921460892049127,0.915447388632872
"macro-F1",0.700904896026847,0.897121034077556,0.882730015082956,0.970357142857143,0.970623941276115,0.803575514874142,0.813201490527072,0.890019379844961,0.871068066190017,0.88054457619675
"macro-precision",0.711779448621554,0.879166666666667,0.84106334841629,0.966880341880342,0.964371980676328,0.802272727272727,0.837320574162679,0.863636363636364,0.926785714285714,0.951945080091533
"macro-recall",0.694444444444444,0.942307692307692,0.96606334841629,0.976190476190476,0.979166666666667,0.806944444444444,0.798611111111111,0.961538461538462,0.863095238095238,0.854166666666667
"margin-loss",0.117647058823529,0.0943396226415094,0.0961538461538462,0.0576923076923077,0.0192307692307692,0.192307692307692,0.115384615384615,0.0576923076923077,0.0784313725490196,0.134615384615385
"micro-AUC",0.954248366013072,0.965408805031447,0.968228849665247,0.977564102564103,0.980769230769231,0.939102564102564,0.943152769324407,0.974680462568472,0.970900809716599,0.971153846153846
"micro-F1",0.92156862745098,0.934579439252336,0.944444444444444,0.961538461538462,0.962264150943396,0.895238095238095,0.914285714285714,0.962264150943396,0.934579439252337,0.943396226415094
"micro-precision",0.92156862745098,0.925925925925926,0.927272727272727,0.961538461538462,0.944444444444444,0.886792452830189,0.923076923076923,0.962264150943396,0.909090909090909,0.925925925925926
"micro-recall",0.92156862745098,0.943396226415094,0.962264150943396,0.961538461538462,0.980769230769231,0.903846153846154,0.905660377358491,0.962264150943396,0.961538461538462,0.961538461538462
"mlp",0,0,0,0,0,0,0,0,0,0
"one-error",0.0784313725490196,0.0754716981132075,0.0576923076923077,0.0384615384615385,0.0192307692307692,0.0961538461538462,0.0769230769230769,0.0192307692307692,0.0588235294117647,0.0769230769230769
"precision",0.92156862745098,0.933962264150943,0.942307692307692,0.961538461538462,0.961538461538462,0.894230769230769,0.923076923076923,0.971153846153846,0.931372549019608,0.942307692307692
"ranking-loss",0.0392156862745098,0.0314465408805031,0.032051282051282,0.0192307692307692,0.00641025641025641,0.0641025641025641,0.0368589743589744,0.0176282051282051,0.0261437908496732,0.0448717948717949
"recall",0.92156862745098,0.943396226415094,0.961538461538462,0.961538461538462,0.980769230769231,0.903846153846154,0.913461538461538,0.971153846153846,0.96078431372549,0.961538461538462
"subset-accuracy",0.92156862745098,0.924528301886792,0.923076923076923,0.961538461538462,0.942307692307692,0.884615384615385,0.903846153846154,0.942307692307692,0.901960784313726,0.923076923076923
"wlp",0.25,0,0,0,0,0,0,0,0,0
