"Measures","Mean10Folds"
"accuracy",0.937344190215999
"average-precision",0.965796313687546
"clp",0
"coverage",0.109848743561285
"F1",0.942805714448334
"hamming-loss",0.0313279048920003
"macro-AUC",0.933536049184976
"macro-F1",0.865220549216517
"macro-precision",0.865348247962833
"macro-recall",0.888419521654816
"margin-loss",0.102118728478329
"micro-AUC",0.96482128335164
"micro-F1",0.938511862983011
"micro-precision",0.927225791021573
"micro-recall",0.950212015139873
"mlp",0
"one-error",0.0558880446227838
"precision",0.939267267139076
"ranking-loss",0.0335588069286737
"recall",0.951805685989926
"subset-accuracy",0.920959617518996
"wlp",0.025
