"Measures","SD10Folds"
"accuracy",0.0189710102559843
"average-precision",0.0146795854251976
"clp",0
"coverage",0.0426155701280239
"F1",0.0205057136508107
"hamming-loss",0.00948550512799212
"macro-AUC",0.0475244687240098
"macro-F1",0.0724335836383189
"macro-precision",0.0749108667219993
"macro-recall",0.0934608573024995
"margin-loss",0.044478701846783
"micro-AUC",0.0124777502018794
"micro-F1",0.0189967407443814
"micro-precision",0.0186041924611208
"micro-recall",0.0227846518750837
"mlp",0
"one-error",0.0263781871656494
"precision",0.0204473232002082
"ranking-loss",0.0150131368110202
"recall",0.0232454630389793
"subset-accuracy",0.0170762273201269
"wlp",0.0790569415042095
